2026-07-22 11:01:53 | INFO     | gnss_monitor.live | receiver 'neom10_1' connected
2026-07-22 11:02:01 | INFO     | gnss_monitor.live | Interrupted by user; shutting down.
2026-07-22 11:02:41 | INFO     | gnss_monitor | Configuration loaded: site 'Teleport Rooftop', 4 channel(s), mode 'live'
2026-07-22 11:02:41 | INFO     | gnss_monitor.live | receiver 'neo6m_1' connected
2026-07-22 11:02:41 | INFO     | gnss_monitor.live | receiver 'lc29h_1' connected
2026-07-22 11:02:41 | INFO     | gnss_monitor.live | receiver 'neom10_1' connected
2026-07-22 11:02:41 | INFO     | gnss_monitor.live | receiver 'vollgo_1' connected
2026-07-22 11:03:03 | INFO     | gnss_monitor.live | Interrupted by user; shutting down.
2026-07-22 11:04:20 | INFO     | gnss_monitor | Configuration loaded: site 'Teleport Rooftop', 4 channel(s), mode 'live'
2026-07-22 11:04:20 | INFO     | gnss_monitor.live | receiver 'neo6m_1' connected
2026-07-22 11:04:20 | INFO     | gnss_monitor.live | receiver 'vollgo_1' connected
2026-07-22 11:04:20 | INFO     | gnss_monitor.live | receiver 'lc29h_1' connected
2026-07-22 11:04:20 | INFO     | gnss_monitor.live | receiver 'neom10_1' connected
2026-07-22 11:05:00 | INFO     | gnss_monitor.live | Interrupted by user; shutting down.
2026-07-23 16:00:34 | INFO     | gnss_monitor | Configuration loaded: site 'Teleport Rooftop', 4 channel(s), mode 'live'
2026-07-23 15:44:30 | INFO     | gnss_monitor | Configuration loaded: site 'Teleport Rooftop', 4 channel(s), mode 'live'
2026-07-23 15:44:30 | INFO     | gnss_monitor.app | gnss-monitor starting
2026-07-23 15:44:30 | INFO     | gnss_monitor.live | receiver 'neo6m_1' connected
2026-07-23 15:44:30 | INFO     | gnss_monitor.live | receiver 'neom10_1' connected
2026-07-23 15:44:30 | INFO     | gnss_monitor.live | receiver 'lc29h_1' connected
2026-07-23 15:44:30 | INFO     | gnss_monitor.live | receiver 'vollgo_1' connected
2026-07-23 15:44:31 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: NO_DATA -> FAILED (no valid GNSS fix)
2026-07-23 15:44:31 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: NO_DATA -> FAILED (no valid GNSS fix)
2026-07-23 15:44:31 | INFO     | gnss_monitor.live | receiver 'lc29h_1' (LC29HEA) status changed: NO_DATA -> OK (within expected radius)
2026-07-23 15:44:31 | INFO     | gnss_monitor.live | receiver 'neom10_1' (NeoM10) status changed: FAILED -> OK (within expected radius)
2026-07-23 15:44:31 | INFO     | gnss_monitor.live | receiver 'vollgo_1' (VOLLGO) status changed: NO_DATA -> OK (within expected radius)
2026-07-23 15:44:32 | INFO     | gnss_monitor.live | receiver 'neo6m_1' (NEO-6M) status changed: FAILED -> OK (within expected radius)
2026-07-23 15:44:46 | INFO     | gnss_monitor.app | received SIGINT; requesting graceful shutdown
2026-07-23 15:44:47 | INFO     | gnss_monitor.app | gnss-monitor stopped
2026-07-23 16:04:06 | INFO     | gnss_monitor | Configuration loaded: site 'Teleport Rooftop', 4 channel(s), mode 'live'
2026-07-23 16:04:06 | INFO     | gnss_monitor.app | gnss-monitor starting
